Page,Edits,Editors,Views,Mobile %
Manchester United F.C.,,,5135213,62.86
90th Academy Awards,,,5127632,50.87
The Office (U.S. TV series),,,5126966,61.2
Harry Kane,,,5126589,74.16
Generation Z,,,5121149,59.47
Harry Potter (film series),,,5118267,65.02
Charles Manson,,,5114409,75.16
Paul McCartney,,,5108325,67.57
Natalie Portman,,,5105584,71.89
The Haunting of Hill House (TV series),,,5096020,75.14
Selena Gomez,,,5090450,74.36
Sanju,,,5083044,81
Halsey (singer),,,5082581,73.9
Brad Pitt,,,5077322,75.78
U.S. state,,,5068988,64.19
Rihanna,,,5065820,72.28
Zlatan Ibrahimović,,,5063869,71.83
Real Madrid C.F.,,,5041252,63.15
Brooklyn Nine-Nine,,,5031771,56.57
Serena Williams,,,5030296,74.35
Deepika Padukone,,,5005584,83.32
Heath Ledger,,,4994821,77.57
Brie Larson,,,4993534,68.17
Jordan Peterson,,,4992526,52.59
Tom Holland (actor),,,4988073,74.78
"Joaquín ""El Chapo"" Guzmán",,,4987242,78.64
Pornhub,,,4961234,74.52
List of Hindi film clans,,,4947167,85.33
List of countries by GDP (nominal),,,4942051,49.67
Barbara Bush,,,4936569,74.58
Shaquille O'Neal,,,4928026,75.2
Pakistan,,,4920576,63.73
2018 Asian Games,,,4920516,65.5
Rajneesh,,,4908506,73.95
The Good Doctor (TV series),,,4886907,58.26
XXX (2002 film),,,4885743,91.58
Marilyn Monroe,,,4884142,72.55
Hugh Jackman,,,4881048,76.59
France,,,4880563,50.19
2018–19 UEFA Champions League,,,4879280,49.69
Rebecca Ferguson,,,4878194,76.73
List of UFC events,,,4875789,50.01
A. P. J. Abdul Kalam,,,4866255,80.52
Rafael Nadal,,,4863143,72.18
Logan Paul,,,4858493,65.95
Timothée Chalamet,,,4856616,67.3
Grey's Anatomy,,,4854975,64.06
Muhammad Ali,,,4816031,66.53
Thugs of Hindostan,,,4814316,78.87
Suits (U.S. TV series),,,4808737,57.16
FC Barcelona,,,4805334,62.52
Liverpool F.C.,,,4792605,58.77
The Crown (TV series),,,4785496,63.7
Jane Fonda,,,4783007,80.1
Tommy Wiseau,,,4774813,72.33
Chris Evans (actor),,,4767811,74.54
Julia Roberts,,,4764557,80.2
Friends,,,4753281,65.77
Kim Jong-un,,,4741265,65.44
Tiger Woods,,,4734295,77.03
Alauddin Khalji,,,4729469,82.78
Pirates of the Caribbean (film series),,,4724882,63.79
Henry VIII of England,,,4720687,70.16
Game of Thrones (season 8),,,4706194,62.91
It (2017 film),,,4704528,67.75
The Beatles,,,4698395,55.07
Tom Hanks,,,4698108,74
David Bowie,,,4688056,61.05
Salman Khan,,,4685290,81.93
Nicole Kidman,,,4673180,76.87
George Washington,,,4672946,54.91
Jim Carrey,,,4664359,72.9
Royal Rumble (2018),,,4659654,65.45
Mission: Impossible (film series),,,4644490,63.47
Ranveer Singh,,,4640632,83.59
RMS Titanic,,,4637684,66.89
Taj Mahal,,,4631563,69.92
Edward VII,,,4629777,74.11
Zero (2018 film),,,4624543,79.71
Lily James,,,4615996,76.15
God of War (2018 video game),,,4600855,57.18
Bruce Lee,,,4600756,72.42
X-Men (film series),,,4587623,59.02
Emilia Clarke,,,4584458,70.93
Alexander the Great,,,4580740,63.21
Millie Bobby Brown,,,4575451,80.77
List of most-followed Instagram accounts,,,4575008,83.98
Offset (rapper),,,4574746,77.06
Idris Elba,,,4566713,79.12
Oprah Winfrey,,,4558728,67.65
Richard Nixon,,,4557255,62.49
Syrian Civil War,,,4556479,50.62
"Anne, Princess Royal",,,4550824,77.04
Gary Oldman,,,4539296,71.09
Altered Carbon (TV series),,,4534485,54.32
Fantastic Beasts and Where to Find Them (film),,,4533635,67.1
Caitlyn Jenner,,,4525826,78.82
Hamilton (musical),,,4523846,68.03
Lil Peep,,,4516718,67.58
2022 FIFA World Cup,,,4513644,64.9
The Predator (film),,,4511743,61.19
The End of the F***ing World,,,4510974,63.65
Solar System,,,4509190,41.38
Greek alphabet,,,4508958,38.44
Danielle Bregoli,,,4503937,75.4
Emma Watson,,,4497023,72.39
Nelson Mandela,,,4492161,63.05
Hailee Steinfeld,,,4474508,72.78
John Lennon,,,4472484,65.49
Elton John,,,4471469,69.85
Soviet Union,,,4467244,57.01
Hong Kong,,,4466164,54.89
Tyson Fury,,,4465823,68.58
Rachel McAdams,,,4463174,75.74
Watergate scandal,,,4458802,70.4
South Africa,,,4453721,57.78
Prince (musician),,,4450788,64.99
London,,,4447836,50.63
"Prince Andrew, Duke of York",,,4432747,76.47
Android version history,,,4431979,54.47
Madonna (entertainer),,,4426279,69.05
List of Knowing Bros episodes,,,4422733,45.08
Nikola Tesla,,,4415820,64.3
Meryl Streep,,,4415059,73.19
Apple Inc.,,,4412288,46.99
Kendall Jenner,,,4409404,80.44
Robert the Bruce,,,4406756,76.1
Netherlands,,,4404890,50.9
Bill Clinton,,,4403141,64.97
Eurovision Song Contest 2018,,,4399327,47.85
Charlize Theron,,,4398135,73.62
Spider-Man: Homecoming,,,4397833,61.96
Michelle Williams (actress),,,4395150,73.41
This Is Us (TV series),,,4386914,59.51
Saoirse Ronan,,,4385527,66.92
Meg Johnson (poet),,,4383423,25.67
Deadpool (film),,,4380209,64.93
Ashton Kutcher,,,4373990,79.26
Columbine High School massacre,,,4368241,66.6
American Civil War,,,4367546,56.41
Barry Seal,,,4359543,84.74
Franklin D. Roosevelt,,,4355966,59.71
Iceland,,,4350829,60.25
2026 FIFA World Cup,,,4349836,65.15
Naomi Osaka,,,4347141,71.22
Pablo Picasso,,,4340552,67.12
Sunny Leone,,,4338600,85.21
Rampage (2018 film),,,4326498,65.63
Spider-Man: Into the Spider-Verse,,,4314583,60.48
Benedict Cumberbatch,,,4313614,72.96
Philippines,,,4307503,55.57
Narendra Modi,,,4306768,78.5
England national football team,,,4300444,59.56
Premier League,,,4289719,56.86
Lost in Space (2018 TV series),,,4288735,64.18
Miley Cyrus,,,4285803,75.99
XXX,,,4284495,88.72
California,,,4281524,55.95
List of most-viewed YouTube videos,,,4265971,52.7
The Avengers (2012 film),,,4258962,61.89
