Page,Edits,Editors,Views,Mobile %
"River Phoenix",?,?,5876033,80.93
"Russia",?,?,5854849,60.1
"George Soros",?,?,5849321,72.65
"Amazon (company)",?,?,5845595,44.16
"Jimmy Carter",?,?,5845537,64.55
"George V",?,?,5844002,77.16
"George H. W. Bush",?,?,5839032,68.28
"Seven deadly sins",?,?,5838169,66.65
"Ana de Armas",?,?,5815884,75.67
"Doja Cat",?,?,5814589,74.49
"Mark Wahlberg",?,?,5814366,80.09
"Post Malone",?,?,5806602,78.45
"Charles Manson",?,?,5803881,79.36
"Eddie Van Halen",?,?,5802477,71.42
"George Floyd",?,?,5802221,68.96
"Mary, Queen of Scots",?,?,5802074,78.85
"Crisis on Infinite Earths (Arrowverse)",?,?,5801151,69.43
"Remdesivir",?,?,5799460,68.85
"Wiki",?,?,5799225,33.42
"Vietnam War",?,?,5797358,64.73
"Camilla, Duchess of Cornwall",?,?,5792106,83.45
"Avengers: Endgame",?,?,5790172,67.65
"Charli D'Amelio",?,?,5785617,81.52
"U.S. state",?,?,5760449,64.51
"Narendra Modi",?,?,5744204,81.08
"Shia LaBeouf",?,?,5739332,79.23
"Lin-Manuel Miranda",?,?,5726070,77.94
"Star Wars",?,?,5714577,60.38
"Chris Evans (actor)",?,?,5702335,78.16
"Kylie Jenner",?,?,5696835,82.84
"Vladimir Putin",?,?,5693652,66.9
"92nd Academy Awards",?,?,5666042,56.22
"Muhammad",?,?,5661434,48.19
"Extraction (2020 film)",?,?,5660793,67.68
"List of highest-grossing films",?,?,5638047,67.85
"Macaulay Culkin",?,?,5631204,81.36
"Zodiac Killer",?,?,5629865,76.8
"Cobra Kai",?,?,5627880,73.04
"Theodore Roosevelt",?,?,5624123,66.13
"Ku Klux Klan",?,?,5610397,69.1
"Matthew McConaughey",?,?,5606474,76.57
"List of epidemics",?,?,5593357,67.82
"Instagram",?,?,5587356,54.15
"List of Star Wars films",?,?,5576564,70.31
"Art",?,?,5574455,19.07
"Millie Bobby Brown",?,?,5573095,78
"Singapore",?,?,5572226,59.9
"Grey's Anatomy",?,?,5569610,69.06
"Severe acute respiratory syndrome coronavirus 2",?,?,5568610,59.56
"John Travolta",?,?,5552182,79.84
"Bad Boys for Life",?,?,5550023,70.74
"John Lennon",?,?,5548735,70.34
"Sex Education (TV series)",?,?,5536193,72.51
"Malcolm X",?,?,5533121,70.14
"Richard Nixon",?,?,5497194,66.69
"Prince Edward, Earl of Wessex",?,?,5488511,82.89
"Sylvester Stallone",?,?,5486877,80.16
"Madam C. J. Walker",?,?,5484683,84.46
"BTS",?,?,5483375,68.19
"Gal Gadot",?,?,5481780,77.75
"Nicole Kidman",?,?,5476688,79.22
"The Last of Us Part II",?,?,5469836,62.75
"Harry Styles",?,?,5468867,76.01
"Lewis Hamilton",?,?,5463080,70.9
"The New Mutants (film)",?,?,5453189,55.64
"Midsommar (film)",?,?,5441076,73.14
"Tom Selleck",?,?,5394398,75.78
"Cardi B",?,?,5389452,76.82
"Marvel Cinematic Universe",?,?,5371643,63.23
